48	1	1	232	41.14
40	1	1	232	40.33
48	1	1	184	39.92
48	1	1	216	38.86
24	2	2	232	38.24
24	2	2	216	38.22
48	1	1	200	37.31
40	1	1	216	37.12
24	2	2	200	36.72
40	1	1	184	36.33
32	1	1	232	36.20
40	1	1	168	35.92
24	2	2	184	35.84
48	1	1	152	35.31
56	1	1	216	34.97
48	1	1	136	34.77
40	1	1	136	34.68
56	1	1	232	34.63
40	1	1	200	34.63
48	1	1	168	34.57
16	2	2	232	34.38
48	1	1	104	34.17
16	2	2	216	33.72
24	2	2	152	33.53
24	2	2	136	33.53
32	1	1	184	33.31
24	2	2	104	33.30
16	2	2	184	33.12
56	1	1	200	33.05
64	1	1	104	32.93
32	2	2	232	32.86
32	2	2	136	32.83
32	2	2	216	32.76
24	2	2	168	32.63
32	1	1	216	32.53
40	1	1	104	32.16
32	1	1	200	32.11
56	1	1	184	32.01
16	2	2	168	31.97
24	2	2	120	31.90
40	1	1	152	31.84
32	2	2	184	31.61
56	1	1	136	31.51
32	2	2	168	31.49
32	2	2	200	31.28
72	1	1	136	31.10
16	2	2	136	31.09
32	2	2	152	30.98
32	1	1	168	30.98
16	2	2	104	30.96
32	1	1	104	30.95
64	1	1	72	30.94
16	2	2	200	30.89
64	1	1	88	30.87
64	1	1	232	30.83
40	2	2	232	30.62
56	1	1	104	30.57
56	1	1	152	30.44
24	1	1	232	30.44
40	2	2	184	30.42
40	1	1	120	30.38
72	1	1	104	30.33
32	2	2	72	30.15
24	1	1	184	29.78
32	1	1	136	29.77
48	1	1	120	29.75
56	1	1	168	29.58
40	2	2	136	29.56
32	1	1	152	29.52
48	2	2	232	29.47
16	2	2	120	29.40
40	2	2	104	29.36
64	1	1	168	29.26
64	1	1	200	29.22
40	2	2	168	29.19
40	2	2	216	29.18
32	2	2	88	29.15
32	2	2	120	29.11
16	4	4	216	29.07
64	1	1	184	29.06
56	1	1	120	29.02
64	1	1	136	28.97
24	2	2	72	28.85
24	2	2	88	28.79
56	1	1	88	28.63
48	2	2	168	28.62
32	1	1	120	28.53
64	1	1	152	28.48
24	1	1	104	28.40
48	1	1	88	28.37
24	1	1	216	28.36
16	2	2	152	28.36
8	4	4	200	28.28
72	1	1	232	28.24
48	2	2	104	28.18
24	2	2	56	28.17
64	1	1	216	28.15
72	1	1	200	28.07
72	1	1	184	28.07
48	2	2	152	28.06
16	4	4	168	28.06
72	1	1	168	28.04
40	2	2	120	27.99
80	1	1	232	27.98
24	1	1	168	27.97
104	1	1	120	27.81
8	4	4	216	27.70
40	2	2	88	27.58
88	1	1	184	27.52
80	1	1	184	27.52
16	4	4	232	27.52
24	1	1	136	27.49
136	8	8	136	27.49
80	1	1	216	27.37
16	4	4	104	27.34
96	1	1	136	27.19
40	1	1	88	27.18
16	2	2	88	27.12
104	1	1	152	27.12
80	1	1	136	27.11
80	1	1	104	27.11
32	1	1	88	27.09
24	1	1	200	27.04
56	2	2	184	26.98
16	4	4	72	26.95
16	4	4	184	26.93
112	8	8	120	26.92
8	4	4	232	26.90
48	2	2	200	26.89
80	1	1	168	26.86
16	4	4	200	26.72
56	2	2	232	26.62
40	2	2	152	26.54
40	2	2	72	26.51
32	1	1	56	26.47
72	1	1	152	26.44
88	1	1	136	26.38
48	2	2	184	26.34
8	4	4	168	26.31
80	1	1	200	26.31
40	2	2	200	26.31
56	2	2	152	26.26
32	2	2	56	26.19
88	1	1	200	26.17
16	2	2	56	26.17
104	1	1	136	26.15
96	8	8	104	26.09
48	2	2	88	26.06
96	1	1	216	26.04
48	2	2	136	26.03
48	2	2	216	25.95
64	1	1	120	25.93
120	8	8	120	25.93
8	4	4	136	25.86
8	4	4	120	25.84
16	4	4	152	25.79
152	1	1	200	25.78
56	1	1	72	25.76
160	1	1	200	25.74
80	1	1	152	25.70
16	4	4	136	25.70
72	1	1	216	25.64
160	1	1	216	25.63
112	1	1	216	25.63
88	1	1	216	25.61
72	1	1	88	25.61
72	1	1	120	25.59
16	2	2	72	25.57
96	1	1	168	25.50
96	1	1	184	25.48
88	8	8	88	25.44
16	2	2	40	25.44
120	1	1	184	25.41
56	2	2	120	25.20
56	1	1	56	25.20
112	8	8	136	25.17
120	1	1	136	25.16
112	1	1	120	25.11
72	10	10	72	25.07
8	6	6	232	25.04
24	1	1	88	25.00
136	10	10	136	25.00
8	4	4	152	24.97
40	1	1	56	24.93
112	10	10	120	24.93
8	4	4	104	24.91
96	1	1	200	24.89
136	4	4	136	24.89
32	2	2	104	24.87
24	1	1	152	24.87
112	1	1	136	24.84
56	2	2	200	24.82
80	1	1	120	24.75
152	1	1	184	24.75
136	1	1	184	24.75
144	1	1	168	24.72
104	6	6	104	24.72
160	1	1	184	24.71
112	1	1	184	24.71
8	4	4	184	24.69
128	1	1	184	24.69
104	1	1	216	24.68
64	2	2	216	24.64
120	6	6	120	24.62
128	1	1	152	24.59
88	1	1	120	24.56
88	1	1	152	24.53
128	1	1	168	24.53
104	1	1	200	24.53
104	1	1	184	24.51
32	2	2	40	24.49
24	1	1	120	24.45
152	8	8	152	24.44
152	4	4	152	24.43
96	8	8	120	24.40
136	1	1	168	24.39
16	4	4	88	24.38
48	1	1	56	24.37
8	4	4	56	24.36
88	1	1	104	24.27
48	1	1	72	24.21
128	1	1	216	24.21
56	2	2	216	24.18
64	2	2	184	24.16
104	10	10	104	24.16
56	2	2	168	24.15
128	10	10	136	24.13
120	1	1	216	24.13
16	4	4	120	24.05
152	10	10	168	23.99
120	1	1	200	23.95
104	1	1	168	23.95
128	4	4	136	23.93
96	10	10	104	23.91
88	1	1	168	23.86
152	2	2	152	23.86
152	1	1	168	23.86
8	6	6	184	23.85
8	6	6	104	23.85
144	1	1	184	23.84
96	1	1	120	23.83
160	2	2	184	23.79
64	2	2	200	23.77
152	1	1	216	23.76
136	4	4	152	23.76
128	8	8	136	23.75
144	1	1	216	23.74
16	4	4	56	23.73
64	2	2	168	23.71
160	1	1	168	23.69
120	4	4	136	23.68
160	2	2	168	23.66
136	10	10	152	23.53
136	1	1	152	23.46
